Date;Number;Вид операции;Сумма;Получатель;Автор;Комментарий
12/5/2023 11:22:09 AM;БЦК00000715;Оплата поставщику;4 200,00;Крепеж БСК ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 8037 от 04.12.2023 
12/5/2023 11:22:10 AM;БЦК00000716;Оплата поставщику;11 100,00;Bugel Алматы ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № АВ-59100 от 05.12.2023 
12/5/2023 11:22:11 AM;БЦК00000717;Оплата поставщику;13 950,00;FIN WELD AZIA ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 02000006806 от 01.12.2023 
12/5/2023 11:22:12 AM;БЦК00000718;Оплата поставщику;42 850,00;Вюрт Казахстан ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № Алм-00005425 от 05.12.2023 
12/5/2023 11:22:13 AM;БЦК00000719;Оплата поставщику;62 800,00;АртПолимер ТОО;Бухгалтер Струнина Н.Б.;Счет на оплатау № 1174 от 05.12.2023 
12/5/2023 11:22:14 AM;БЦК00000720;Оплата поставщику;83 005,00;Крепеж БСК ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 7955 от 30.11.2023 
12/5/2023 11:22:15 AM;БЦК00000721;Оплата поставщику;240 225,00;АртПолимер ТОО;Бухгалтер Струнина Н.Б.;Счет на оплату № 1173 от 04.12.2023 
12/6/2023 1:32:23 PM;БЦК00000722;Оплата поставщику;3 951,00;IRON TRADE COMPANY  ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № TR-38543 от 05.12.2023 
12/6/2023 1:32:24 PM;БЦК00000723;Оплата поставщику;4 200,00;Bugel Алматы ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № АВ-59514 от 06.12.2023 
12/6/2023 1:32:25 PM;БЦК00000724;Оплата поставщику;6 918,00;NEOSTRIM ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 7602 от 06.12.2023 
12/6/2023 1:32:26 PM;БЦК00000725;Оплата поставщику;8 090,00;Bugel Алматы ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № АВ-59312 от 06.12.2023 
12/6/2023 1:32:27 PM;БЦК00000726;Оплата поставщику;16 000,00;ЧСИ Алибаев Б.С ;Бухгалтер Струнина Н.Б.;испол. лист Бекжанов
12/6/2023 1:32:28 PM;БЦК00000727;Оплата поставщику;18 000,00;Bugel Алматы ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № АВ-59048 от 05.12.2023 
12/6/2023 1:32:29 PM;БЦК00000728;Оплата поставщику;18 300,00;Элекрокомплекс Lighting ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № ГУ000009601 от 04.12.2023 
12/6/2023 1:32:30 PM;БЦК00000729;Оплата поставщику;36 000,00;Элекрокомплекс Lighting ТОО ;Бухгалтер Струнина Н.Б.;
12/6/2023 1:32:31 PM;БЦК00000730;Оплата поставщику;36 000,00;Должиков Виктор ИП ;Бухгалтер Струнина Н.Б.;Счет на оплату № 377 от 05.12.2023 
12/6/2023 1:32:32 PM;БЦК00000731;Оплата поставщику;54 400,00;Крепеж БСК ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 8043 от 05.12.2023 
12/6/2023 1:32:33 PM;БЦК00000732;Оплата поставщику;155 602,00;Лидер -Металл ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № Т-26599 от 06.12.2023 
12/6/2023 1:32:34 PM;БЦК00000733;Оплата поставщику;205 190,00;IRON TRADE COMPANY  ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № TR-38423 от 05.12.2023 
12/6/2023 1:32:35 PM;БЦК00000734;Оплата поставщику;250 000,00;Stabservice ИП ;Бухгалтер Струнина Н.Б.;Счет на оплату № 3011 от 30.11.2023 
12/7/2023 1:00:01 PM;БЦК00000735;Оплата поставщику;12 650,00;STYNERGY  ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № ТС-10000429230 от 07.12.2023 
12/7/2023 1:00:02 PM;БЦК00000736;Оплата поставщику;28 900,00;БАКШИШ ТРЕЙД;Бухгалтер Струнина Н.Б.;Счет на оплату № 10063 от 07.12.2023 
12/7/2023 1:00:03 PM;БЦК00000737;Оплата поставщику;39 000,00;Компания Hoster.KZ ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 1043193 от 06.12.2023 
